Title,Artist,Duration,Explicit,Genre,Streams
As It Was,Harry Styles,147,False,"Pop, Soft Pop, Rock",213605271
Bad Habits,Ed Sheeran,231,False,"Alternative Indie, Pop",1039399457
Bam Bam,"Camila Cabello, Ed Sheeran",206,false,"French Urban Pop, R&B, Soul, Pop",115050175
Better Days,"NEIKED, Mae Muller, Polo G",161,false,"Disco, Pop, Funk",216617133
Bones,Imagine Dragons,165,False,"Alternative, Indie",50803142
Boyfriend,Dove Cameron,153,True,"R&B, Soul, Pop",144493104
Cold Heart,"Elton John, Dua Lipa, PNAU",203,False,"Disco, Pop",795549029
Desesperados,"Rauw Alejandro, Chencho Corleone",225,True,Latin Urbano,279140212
Easy On Me,Adele,225,False,"Pop, Soul",850155014
Enemy,"Imagine Dragons, JID, Arcane, League of Legends",173,False,"Alternative Indie, Pop, Hip-Hop, Rap, R&B, Soul",591721256
Envolver,Anitta,194,False,"Reggaeton, Latin Urbano",166990082
Fingers Crossed,Lauren Spencer-Smith,175,False,Pop,151318265
First Class,Jack Harlow,174,True,"Hip-Hop, Rap",79881329
Ghost,Justin Beiber,153,False,Pop ,473826288
Go,Cat Burns,215,True,Pop,39962069
Happier Than Ever - Edit,Billie Eilish,151,True,"Alternative Indie, Pop",196297161
Heat Waves,Glass Animals,239,False,"Alternative Indie, Contemporary R&B, Psychedelic Pop",1493773279
I'm Tired,"Labrinth, Zendaya",188,false,Pop,5550414
IDGAF,"BoyWithUke, blackbear",141,True,"Alternative Indie, Hip-Hop, Rap",34784973
In My Head,Lil Tjay,135,True,"Hip-Hop, Rap",33329870
Industry Baby,"Lil Nas X, Jack Harlow",212,True,"Hip-Hop, Rap",12131815490
Infinity,Jaymes Young,227,False,"R&B Soul, Alternative Indie, Pop",
Light Switch,Charlie Puth,186,False,Pop,157189571
MAMIII,"Becky G, KAROL G",226,False,Pop,157189571
MIDDLE OF THE NIGHT,Elley Duhe,184,False,Pop,239886380
MONEY,LISA,168,False,"Hip-Hop, K-Pop, Dance, Electronic",436325818
My Universe,"Coldplay, BTS",228,False,"Alternative Indie, Dance, Electronic",555595940
Nail Tech,Jack Harlow,206,True,"Hip-Hop, Rap",79881329
Need to Know,Doja Cat,211,True,"R&B Soul, Pop, Rap",707546514
Numb Little Bug,Em Beihold,169,False,"R&B Soul, Pop",87380253
Oh My God,Adele,225,False,"Dance, Pop",245726379
One Right Now,"Post Malone, The Weeknd",194,True,"Hip-Hop, Rap",260728653
Pepas,Farruko,287,True,Latin Urbano,831461144
Plan A,Paulo Londra,178,False,"Rock, Pop",79041393
Right On,Lil Baby,214,True,"Hip-Hop, Rap",10605210
Shivers,Ed Sheeran,207,false,"Alternative Indie, Pop",696156823
Starlight,Dave ,211,True,"Hip-Hop, Rap",63137332
Stay,"The Kid LAROI, Justin Bieber",142,True,"Pop rock, R&B Soul, Hip-Hop, Rap, Pop",1708337173
Sweetest Pie,"Megan Thee Stallion, Dua Lipa",201,True,R&B Soul,58257340
THATS WHAT I WANT,Lil Nas X,164,True,"Pop Rock, Pop",506972781
TO THE MOON,"Jnr Choi, Sam Tompkins",152,True,"Hip-Hop, Rap",127290387
The Motto,"Ava Max, Tiesto",164,false,"Dance, Pop",256564749
When You're Gone,Shawn Mendes,172,False,"Pop, Alternative Indie",37493275
Where Are You Now,"Lost Frequencies, Calum Scott",148,False,Tropical House,433099243
Woman,Doja Cat,173,True,"Afrobeat, Pop, R&B",763753222
abcdefu,GAYLE,169,True,"Pop Rock, Pop",595090378
good 4 u,Olivia Rodrigo,178,True,"Emo, Pop, R&B Soul, Alternative Indie, Punk",1381829446
love nwaniti,CKay,146,True,Afrobeats,441257021
psychofreak,"Camilla Cabello, WILLOW",201,False,Pop,12533302
she's all i wanna be,Tate McRae,207,False,Pop,1186414
