Name,Runtime,Streams
Two,3:03,"82,954,900"
444+222,4:05,"114,412,377"
Sauce it up,3:27,"288,342,447"
No Sleep Leak,3:09,"65,255,184"
The Way Life Goes(feat.Oh Wonder),3:41,"627,631,131"
For Real,2:57,"65,705,133"
Feeling's Mutual,3:53,"61,400,397"
Neon Guts(feat.Pharrell Williams),4:18,"156,952,545"
Early 20 Rager,4:34,"38,519,191"
Unfazed(feat.The Weeknd),3:10,"89,523,842"
Pretty Miami,4:24,"58,440,612"
How to Talk,3:21,"54,781,264"
X,2:53,"92,285,031"
Malfunction,3:19,"42,380,125"
Dark Queen,2:53,"214,638,331"
XO Tour Lif3,3:02,"1,660,754,766"
