,name,longitude deg,elevation ft
11228,San Andrés de Giles Airport,-59.42461,167.0
11984,Aitape Airport,142.346805556,10.0
12285,Aropa Airport,155.728139,20.0
12969,Bosset Airport,141.1063222,80.0
18906,Soummam – Abane Ramdane Airport,5.07857,20.0
26412,Banyuwangi International Airport,114.3401,112.0
26413,Lasondre Airport,98.30097,30.0
28313,Comandante Ariston Pessoa Airport,-40.357338,89.0
37341,Bari Karol Wojtyła Airport,16.760599,177.0
37342,"Foggia ""Gino Lisa"" Airport",15.535,265.0
37347,Abruzzo Airport,14.1811,48.0
37348,Brindisi Airport,17.947001,47.0
37351,Lamezia Terme Airport,16.2423,39.0
37353,Catania-Fontanarossa Airport,15.0664,39.0
37354,Lampedusa Airport,12.6181,70.0
37356,Falcone–Borsellino Airport,13.091,65.0
37359,Reggio Calabria Airport,15.6516,96.0
37360,Vincenzo Florio Airport Trapani-Birgi,12.488,25.0
37380,Alghero-Fertilia Airport,8.29077,87.0
37382,Cagliari Elmas Airport,9.05428,13.0
37383,Olbia Costa Smeralda Airport,9.51763,37.0
37409,Genoa Cristoforo Colombo Airport,8.8375,13.0
37410,Milano Linate Airport,9.27674,353.0
37412,Parma Airport,10.2964,161.0
37423,Bologna Guglielmo Marconi Airport,11.2887,123.0
37426,Treviso-Sant'Angelo Airport,12.1944,59.0
37428,Forlì Airport,12.0701,97.0
37432,Brescia Airport,10.3306,355.0
37433,Trieste–Friuli Venezia Giulia Airport,13.4722,39.0
37434,Federico Fellini International Airport,12.6117,40.0
37439,Verona Villafranca Airport,10.8885,239.0
37440,Marche Airport,13.3623,49.0
37441,Venice Marco Polo Airport,12.3519,7.0
37448,Ciampino–G. B. Pastine International Airport,12.5949,427.0
37452,Leonardo da Vinci–Fiumicino Airport,12.2388889,13.0
37456,Marina Di Campo Airport,10.2394,31.0
37459,Naples International Airport,14.2908,294.0
37460,Pisa International Airport,10.3927,6.0
37461,Peretola Airport,11.2051,142.0
38828,Jeh Airport,168.962005615,10.0
38832,Maloelap Island Airport,171.229995728,4.0
38833,Mejit Atoll Airport,170.869,5.0
38835,Namorik Atoll Airport,168.125,15.0
38838,Jaluit Airport,169.636993,4.0
38840,Wotje Atoll Airport,170.238611,4.0
39101,Mili Island Airport,171.733002,4.0
39505,Maleo Airport,121.660278,12.0
43167,Ofu Airport,-169.669998,9.0
43171,Fitiuta Airport,-169.425003,110.0
43173,Pago Pago International Airport,-170.710006714,32.0
45198,Tadji Airport,142.430963516,33.0
45199,Awaba Airport,142.748352051,32.0
45202,Gasmata Island Airport,150.330993652,23.0
45205,Ihu Airport,145.395996094,70.0
45207,Jacquinot Bay Airport,151.507003784,136.0
45208,Kandrian Airport,149.54783,280.0
45210,Kamusi Airport,143.121811,97.0
45214,Lake Murray Airport,141.494003296,52.0
45215,Obo Airport,141.324262619,29.0
45216,Balimo Airport,142.932998657,51.0
45217,Suki Airport,141.7222,24.0
45218,Tufi Airport,149.319839478,85.0
45223,Baimuru Airport,144.819900513,27.0
45224,Wipim Airport,142.882003784,173.0
45229,Saipan International Airport,145.729004,215.0
45231,Antonio B. Won Pat International Airport,144.796005,298.0
45731,Marshall Islands International Airport,171.27200317382812,6.0
