,Country,Continent,Title,Artists,Explicit
401,Canada,North America,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",0
403,Canada,North America,Blinding Lights,The Weeknd,0
407,Canada,North America,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",0
408,Canada,North America,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",0
410,Canada,North America,Dance Monkey,Tones And I,0
412,Canada,North America,Don't Start Now,Dua Lipa,0
413,Canada,North America,Intentions (feat. Quavo),"Justin Bieber, Quavo",0
414,Canada,North America,Party Girl,StaySolidRocky,0
415,Canada,North America,Sunday Best,Surfaces,0
416,Canada,North America,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",0
418,Canada,North America,Be Kind (with Halsey),"Marshmello, Halsey",0
421,Canada,North America,Circles,Post Malone,0
423,Canada,North America,Break My Heart,Dua Lipa,0
427,Canada,North America,Watermelon Sugar,Harry Styles,0
429,Canada,North America,Someone You Loved,Lewis Capaldi,0
431,Canada,North America,Falling,Trevor Daniel,0
435,Canada,North America,If the World Was Ending - feat. Julia Michaels,"JP Saxe, Julia Michaels",0
437,Canada,North America,Lose Somebody,"Kygo, OneRepublic",0
438,Canada,North America,Breaking Me,"Topic, A7S",0
439,Canada,North America,Before You Go,Lewis Capaldi,0
441,Canada,North America,Adore You,Harry Styles,0
442,Canada,North America,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0
444,Canada,North America,Boss Bitch,Doja Cat,0
447,Canada,North America,Memories,Maroon 5,0
550,Costa Rica,North America,Rojo,J Balvin,0
552,Costa Rica,North America,Yo Perreo Sola,Bad Bunny,0
553,Costa Rica,North America,Favorito,Camilo,0
554,Costa Rica,North America,Tattoo,Rauw Alejandro,0
555,Costa Rica,North America,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",0
556,Costa Rica,North America,Djadja,Aya Nakamura,0
557,Costa Rica,North America,Blinding Lights,The Weeknd,0
558,Costa Rica,North America,Tusa,"KAROL G, Nicki Minaj",0
559,Costa Rica,North America,Amarillo,J Balvin,0
560,Costa Rica,North America,Fantasias,"Rauw Alejandro, Farruko",0
561,Costa Rica,North America,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",0
563,Costa Rica,North America,Sigues Con El,"Dímelo Flow, Arcangel, Sech",0
564,Costa Rica,North America,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",0
566,Costa Rica,North America,Morado,J Balvin,0
567,Costa Rica,North America,PORFA,"Feid, Justin Quiles",0
568,Costa Rica,North America,Relación,Sech,0
569,Costa Rica,North America,Dance Monkey,Tones And I,0
571,Costa Rica,North America,Si Veo a Tu Mamá,Bad Bunny,0
572,Costa Rica,North America,Jangueo,"Alex Rose, Rafa Pabön",0
574,Costa Rica,North America,Don't Start Now,Dua Lipa,0
576,Costa Rica,North America,Por Primera Vez,"Camilo, Evaluna Montaner",0
578,Costa Rica,North America,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",0
579,Costa Rica,North America,Azul,J Balvin,0
581,Costa Rica,North America,El Efecto,"Rauw Alejandro, Chencho Corleone",0
582,Costa Rica,North America,LA CANCIÓN,"J Balvin, Bad Bunny",0
583,Costa Rica,North America,Bajo La Mesa,"Morat, Sebastian Yatra",0
584,Costa Rica,North America,Negro,J Balvin,0
585,Costa Rica,North America,Blanco,J Balvin,0
