,area_type,availability,location,size,total_sqft,bath,balcony,price,price_per_sqft,price_per_sqft_x_1000
1,Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,2600.0,5.0,3.0,120.0,0.046153846153846156,46.15384615384615
3,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,95.0,0.062458908612754764,62.45890861275476
5,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1170.0,2.0,1.0,38.0,0.03247863247863248,32.478632478632484
11,Plot  Area,Ready To Move,Whitefield,4 Bedroom,2785.0,5.0,3.0,295.0,0.1059245960502693,105.9245960502693
12,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000.0,2.0,1.0,38.0,0.038,38.0
14,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,2250.0,3.0,2.0,148.0,0.06577777777777778,65.77777777777779
15,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1175.0,2.0,2.0,73.5,0.0625531914893617,62.5531914893617
16,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180.0,3.0,2.0,48.0,0.04067796610169491,40.67796610169491
17,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,3.0,60.0,0.03896103896103896,38.96103896103896
18,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,2770.0,4.0,2.0,290.0,0.10469314079422383,104.69314079422384
22,Plot  Area,Ready To Move,Thanisandra,4 Bedroom,2800.0,5.0,2.0,380.0,0.1357142857142857,135.7142857142857
26,Super built-up  Area,Ready To Move,Electronic City,2 BHK,660.0,1.0,1.0,23.1,0.035,35.0
29,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1025.0,2.0,1.0,47.0,0.045853658536585365,45.853658536585364
31,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,35.0,0.03255813953488372,32.55813953488372
32,Super built-up  Area,Ready To Move,Hebbal,3 BHK,1760.0,2.0,2.0,123.0,0.06988636363636364,69.88636363636364
33,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,3.0,57.39,0.0338984051978736,33.8984051978736
37,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1724.0,3.0,2.0,125.0,0.07250580046403712,72.50580046403712
42,Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,600.0,1.0,0.0,38.0,0.06333333333333334,63.333333333333336
46,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,970.0,2.0,0.0,33.0,0.03402061855670103,34.02061855670103
50,Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,1270.0,2.0,1.0,50.0,0.03937007874015748,39.37007874015748
52,Built-up  Area,Ready To Move,Whitefield,3 BHK,2010.0,3.0,2.0,91.0,0.04527363184079602,45.27363184079602
53,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1185.0,2.0,2.0,75.0,0.06329113924050633,63.29113924050633
54,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1600.0,2.0,3.0,75.0,0.046875,46.875
55,Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200.0,2.0,2.0,44.0,0.03666666666666667,36.666666666666664
57,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,1500.0,2.0,2.0,185.0,0.12333333333333334,123.33333333333334
61,Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,845.0,2.0,1.0,55.0,0.0650887573964497,65.08875739644971
62,Plot  Area,Ready To Move,Whitefield,4 Bedroom,5700.0,5.0,3.0,650.0,0.11403508771929824,114.03508771929823
63,Built-up  Area,Ready To Move,Varthur,2 BHK,1160.0,2.0,2.0,44.0,0.03793103448275862,37.93103448275862
72,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1569.0,3.0,1.0,101.0,0.06437221159974506,64.37221159974506
74,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2089.0,3.0,2.0,140.0,0.06701771182383916,67.01771182383916
77,Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,2511.0,3.0,3.0,205.0,0.08164078056551174,81.64078056551175
80,Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,1660.0,2.0,2.0,105.0,0.06325301204819277,63.253012048192765
84,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1499.0,5.0,2.0,102.0,0.06804536357571714,68.04536357571713
88,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1060.0,2.0,2.0,58.06,0.05477358490566038,54.77358490566038
90,Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1000.0,2.0,2.0,70.0,0.07,70.0
96,Plot  Area,Ready To Move,Kengeri,4 Bedroom,2894.0,4.0,1.0,245.0,0.08465791292328956,84.65791292328956
100,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2502.0,3.0,3.0,138.0,0.05515587529976019,55.15587529976019
101,Built-up  Area,Ready To Move,Chandapura,2 BHK,650.0,1.0,1.0,17.0,0.026153846153846153,26.153846153846153
102,Plot  Area,Ready To Move,Kothanur,3 Bedroom,2400.0,2.0,1.0,150.0,0.0625,62.5
103,Super built-up  Area,Ready To Move,Green View Layout,2 BHK,1007.0,2.0,2.0,43.0,0.04270109235352532,42.701092353525326
104,Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,1200.0,2.0,2.0,50.0,0.041666666666666664,41.666666666666664
107,Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640.0,3.0,2.0,229.0,0.13963414634146343,139.63414634146343
111,Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,1413.0,2.0,2.0,75.0,0.05307855626326964,53.07855626326964
112,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116.0,2.0,1.0,51.91,0.046514336917562724,46.51433691756272
113,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1530.0,2.0,1.0,45.9,0.03,30.0
115,Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,2497.0,3.0,2.0,140.0,0.05606728073688426,56.06728073688426
116,Super built-up  Area,Ready To Move,Kengeri,3 BHK,1540.0,2.0,3.0,64.0,0.04155844155844156,41.55844155844156
120,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1427.0,3.0,2.0,120.0,0.08409250175192712,84.09250175192712
121,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061.0,3.0,1.0,200.0,0.09704027171276079,97.0402717127608
126,Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,1600.0,3.0,2.0,65.0,0.040625,40.625
128,Super built-up  Area,Ready To Move,Hormavu,2 BHK,1500.0,2.0,1.0,78.0,0.052,52.0
130,Built-up  Area,Ready To Move,Peenya,3 BHK,1870.0,3.0,3.0,110.0,0.058823529411764705,58.8235294117647
131,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,1600.0,3.0,1.0,75.0,0.046875,46.875
132,Super built-up  Area,Ready To Move,Electronic City,2 BHK,880.0,1.0,1.0,16.5,0.01875,18.75
134,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535.0,3.0,2.0,83.0,0.054071661237785014,54.071661237785015
135,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950.0,2.0,1.0,57.0,0.06,60.0
142,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1563.05,3.0,1.0,105.0,0.06717635392341896,67.17635392341896
147,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,890.0,2.0,1.0,35.0,0.03932584269662921,39.32584269662921
148,Super built-up  Area,Ready To Move,Basavanapura,3 BHK,1612.0,3.0,3.0,46.74,0.028995037220843674,28.995037220843674
151,Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957.0,2.0,1.0,58.0,0.06060606060606061,60.60606060606061
154,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1125.0,2.0,2.0,50.0,0.044444444444444446,44.44444444444444
157,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1735.0,3.0,3.0,135.0,0.07780979827089338,77.80979827089338
158,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2050.0,3.0,1.0,145.0,0.07073170731707316,70.73170731707316
162,Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,1904.0,3.0,1.0,150.0,0.07878151260504201,78.78151260504201
164,Super built-up  Area,Ready To Move,RMV Extension,3 BHK,2000.0,3.0,1.0,175.0,0.0875,87.5
166,Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,1425.0,2.0,2.0,75.0,0.05263157894736842,52.63157894736842
167,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500.0,2.0,1.0,64.5,0.043,43.0
168,Built-up  Area,Ready To Move,Electronic City,2 BHK,1060.0,2.0,1.0,60.0,0.05660377358490566,56.60377358490566
169,Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,1470.0,2.0,2.0,70.0,0.047619047619047616,47.61904761904761
171,Super built-up  Area,Ready To Move,Attibele,1 BHK,450.0,1.0,1.0,11.0,0.024444444444444446,24.444444444444446
173,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350.0,2.0,1.0,56.0,0.04148148148148148,41.48148148148148
174,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1550.0,3.0,3.0,65.0,0.041935483870967745,41.935483870967744
178,Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,705.0,1.0,2.0,67.0,0.0950354609929078,95.0354609929078
179,Built-up  Area,Ready To Move,Electronic City,2 BHK,770.0,1.0,1.0,36.0,0.046753246753246755,46.753246753246756
180,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1242.0,2.0,3.0,51.0,0.04106280193236715,41.06280193236715
181,Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1700.0,3.0,2.0,155.0,0.09117647058823529,91.17647058823529
182,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2144.0,3.0,2.0,145.0,0.06763059701492537,67.63059701492537
184,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070.0,2.0,1.0,52.0,0.048598130841121495,48.598130841121495
187,Built-up  Area,Ready To Move,Electronic City,2 BHK,1025.0,2.0,1.0,46.0,0.0448780487804878,44.8780487804878
189,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200.0,2.0,2.0,52.0,0.043333333333333335,43.333333333333336
191,Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,1550.0,2.0,3.0,80.0,0.05161290322580645,51.61290322580645
